0001_greenfield_foundation: PASS (12 table declarations, 23 foreign keys, 22 unique indexes, 88 checks, 38 total indexes, sha256=0573e3d13018e0db103ef4b605eb35278723174507b37379425a489b10e1462d)
0002_teaching_structure: PASS (3 table declarations, 14 foreign keys, 6 unique indexes, 20 checks, 12 total indexes, sha256=bc62c8cc42989da02eb5be92c7c68f64a72b90e6a41b3913c169333d5fbfbc41)
0003_identity_enrollment_qr_join: PASS (4 table declarations, 20 foreign keys, 13 unique indexes, 34 checks, 25 total indexes, sha256=032b2f001638de63495bdb8d9bd3979ab54679eaaa7802d7526c6e5e24aaa5b7)
0004_official_roster_alignment: PASS (6 table declarations, 27 foreign keys, 24 unique indexes, 60 checks, 34 total indexes, sha256=bcfcde0c5cbb2a6bb0097f57b97f4d1f576dd90a4ff8e290a5c34f7605554b3a)
0005_exercise_session: PASS (3 table declarations, 12 foreign keys, 8 unique indexes, 19 checks, 15 total indexes, sha256=d26ea3da255e6522c893cae9f89d7d1229c4db2f6e43c4d25edfca811cac41f4)
0006_media_evidence: PASS (4 table declarations, 10 foreign keys, 7 unique indexes, 25 checks, 13 total indexes, sha256=81fb6be00696084be87248445941909e04dfb130aff448585d602caa4c73cf31)
0007_exercise_record: PASS (5 table declarations, 22 foreign keys, 18 unique indexes, 22 checks, 26 total indexes, sha256=d78b14c17acd1fa1f39760504525a2b1df3755472149b343da9709157bcf534f)
0008_review_core: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 2 checks, 0 total indexes, sha256=6e9e15d01fb41ec26cf6dedd2969f7471d69dc6595004eb477b5ec8d2c766eff)
0009_score: PASS (9 table declarations, 36 foreign keys, 16 unique indexes, 10 checks, 27 total indexes, sha256=1a4a21a6c4097cbeaaf1c8b8e7b3faef3db774f84296988f7edb9c288c06282d)
0010_export_audit_governance: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 1 checks, 0 total indexes, sha256=42aea4159d943b1c1c541ef8558c123d0e88d8e5aed06fd462aeabc1f98fe3df)
0011_client_capabilities: PASS (27 table declarations, 67 foreign keys, 38 unique indexes, 86 checks, 71 total indexes, sha256=78acf3c51ef2c3be25c7b9c534f487c65653bec7486535ccb889df12eeb56da6)
0012_ios_auth_release_exemption: PASS (0 table declarations, 2 foreign keys, 2 unique indexes, 6 checks, 3 total indexes, sha256=7b36c521540b5d20916c1858da90d464fce9952c4ab686d8d16125dd2c1aabfa)
0013_production_rate_limits: PASS (1 table declarations, 0 foreign keys, 0 unique indexes, 4 checks, 1 total indexes, sha256=e6333720a29643af6d6eddef0a67710b742c76348060e9eef89a35c5c2b6abae)
0014_email_only_auth: PASS (1 table declarations, 2 foreign keys, 0 unique indexes, 9 checks, 2 total indexes, sha256=c0ce94ec0551f293453839ff19d361dd1da109c69eed308f3dc92176de916927)
0015_email_verification_fk_alignment: PASS (0 table declarations, 2 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=f96b84e50b1510c340c54eea8e7a99301c8db7185362c1db47540b2c43065b95)
0016_optional_course_exercise_description: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 1 checks, 0 total indexes, sha256=7e7292a85b086a830b84c52eebc1bd63d967775165aafb779346d3c2e85291ef)
0017_exemption_application_details: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 1 checks, 0 total indexes, sha256=1f04f19f20c0a13006779d11c2bddb643650463e3051eed8c3e6a14e5730f959)
0018_default_valid_exercise_reviews: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 1 checks, 0 total indexes, sha256=c3d1e0e589a8c4e86ab3b86c3429a29e2eadd5c8f2157483e39ad86b4eebec20)
0019_default_valid_initial_review_constraint: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 1 checks, 0 total indexes, sha256=3fb294065f22698fb924672911455588745cb39a40d343c91261b3b774cd3be0)
