runId,mode,vus,thinkMs,elapsed,requests,errors,p50,p95,p99,rps,peakInflight,stopped,cpuAvg,cpuMax,backendCpuMax,availableMiBMin,appConnectionsMax,activeConnectionsMax,internalApiMaxMs,windowRpsMax,hostTxMbitMax,responsePayloadMbitAvg
2026-09-11T06-40-16-194Z-smoke-1,smoke,1,5000,1.2302078,5,1,161.74,569.45,569.45,4.0643540058842085,1,smoke_route_failed_student_progress,0,0,0.28,1472.29296875,3,0,0,0,0,0.012
2026-09-11T06-41-11-528Z-smoke-1,smoke,1,5000,1.0944966999999997,5,1,144.16,515.11,515.11,4.56830979938085,1,smoke_route_failed_student_progress,0,0,0.26,1468.93359375,3,0,0,0,0,0.014
2026-09-11T06-42-16-464Z-smoke-1,smoke,1,5000,3.2970912999999995,20,0,142.58,163.83,540.79,6.06595273840309,1,,0,0,0.2,1460.796875,3,0,0,0,0,0.039
2026-09-11T06-42-30-232Z-write-1,write,1,5000,1.0226986999999998,4,0,156.77,531.18,531.18,3.9112203819169817,1,,0,0,0.47,1473.34765625,3,0,0,0,0,0.019
2026-09-11T06-43-17-011Z-stage-1,stage,1,5000,60.0992578,12,0,144.02,506.05,506.05,0.1996696871021925,1,,3.34,5.82,14.28,1445.9453125,3,0,0,0.2,0.101,0.002
2026-09-11T06-44-21-083Z-stage-5,stage,5,5000,64.0792211,60,0,139.22,163.06,494.51,0.9363409693505155,1,,4.15,8.36,14.2,1445.296875,3,0,0,1.0,0.189,0.009
2026-09-11T06-45-29-162Z-stage-10,stage,10,5000,64.6196744,120,0,145.99,166.61,510.98,1.857019570497867,2,,4.52,9.87,1.44,1430.125,4,0,0,2.0,0.26,0.018
2026-09-11T06-46-36-709Z-stage-20,stage,20,5000,64.8403568,240,0,142.94,161.7,481.12,3.7013985092691533,3,,4.19,5.91,2.9,1441.12890625,4,0,0,4.0,0.346,0.025
2026-09-11T06-47-44-739Z-stage-40,stage,40,5000,64.9849073,480,0,143.06,169.07,484.6,7.3863304564566175,5,,5.38,7.96,19.72,1435.109375,4,0,0,8.0,0.642,0.05
2026-09-11T06-48-52-672Z-stage-80,stage,80,5000,64.97674640000001,959,0,146.25,172.09,485.38,14.759126197183672,10,,7.37,9.89,8.85,1430.05859375,4,0,0,16.0,1.187,0.1
2026-09-11T06-50-01-916Z-stage-120,stage,120,5000,64.9709421,1439,0,143.86,166.5,486.88,22.148362844810894,14,,9.32,12.42,25.69,1407.2578125,6,1,0,24.0,1.769,0.15
2026-09-11T06-51-10-890Z-stage-160,stage,160,5000,64.99051320000001,1918,0,143.58,165.27,480.01,29.511999606736445,18,,11.48,13.36,27.59,1401.7109375,6,0,14.24,32.1,2.324,0.199
2026-09-11T06-52-19-598Z-stage-200,stage,200,5000,64.97867860000001,2397,0,144.76,168.19,497.51,36.889023471154424,24,,12.68,15.52,15.92,1400.4609375,6,1,13.07,40.1,2.871,0.249
2026-09-11T06-54-34-356Z-stage-20,stage,20,5000,64.8294144,240,0,150.32,186.56,495.98,3.7020232593678957,3,,5.12,13.23,2.32,1390.8046875,5,0,13.59,4.0,0.572,0.124
2026-09-11T06-55-42-882Z-stage-40,stage,40,5000,64.9782834,480,0,156.47,196.73,508.8,7.387083420550935,5,,5.73,7.72,12.95,1404.25,4,0,22.22,8.0,0.919,0.247
2026-09-11T06-56-51-591Z-stage-80,stage,80,5000,64.9847175,959,0,150.49,183.31,489.68,14.757315825832436,9,,7.4,9.77,7.32,1397.16796875,4,0,24.16,16.0,1.737,0.493
2026-09-11T06-58-00-544Z-stage-120,stage,120,5000,64.9570612,1439,0,151.92,190.21,488.62,22.153095805387206,13,,9.59,12.66,24.26,1394.9453125,5,1,12.78,24.1,2.527,0.74
2026-09-11T06-59-09-235Z-stage-160,stage,160,5000,64.984164,1918,0,149.64,193.23,506.32,29.514883041351425,18,,11.01,13.12,31.71,1385.9296875,9,1,13.42,32.2,3.505,0.985
2026-09-11T07-00-18-229Z-stage-200,stage,200,5000,65.7334537,2398,1,149.05,185.3,487.31,36.48066342207119,23,,13.26,16.68,30.01,1395.23828125,7,1,14.3,40.1,4.132,1.217
2026-09-11T07-01-46-761Z-smoke-1,smoke,1,5000,3.4294144,20,0,145.79,188.51,511.52,5.83189946365187,1,,0,0,0.21,1402.25390625,3,0,11.73,0,0,0.195
2026-09-11T07-03-12-407Z-write-5,write,5,5000,1.3834312,20,0,158.66,562.68,584.54,14.456808549640922,5,,0,0,0.21,1414.3125,3,0,12.01,0,0,0.072
2026-09-11T07-03-17-442Z-write-10,write,10,5000,2.6713631,40,0,156.93,528.78,1515.34,14.973629006105533,10,,0,0,0.32,1414.94140625,5,0,13.19,0,0,0.074
2026-09-11T07-03-23-805Z-write-20,write,20,5000,2.6565266000000003,80,0,163.21,515.52,580.28,30.114511181630927,11,,0,0,3.89,1405.1171875,6,0,9.49,0,0,0.15
2026-09-11T07-04-02-879Z-stage-5,stage,5,0,30.149735499999995,920,0,154.47,202.93,492.89,30.514363882230416,5,,10.54,13.42,13.08,1409.90234375,8,0,12.66,31.9,3.496,1.04
2026-09-11T07-04-36-769Z-stage-10,stage,10,0,30.1548224,1896,0,150.97,183.44,475.12,62.87551539351795,10,,18.09,20.02,24.32,1388.41015625,10,1,16.73,63.6,6.787,2.152
2026-09-11T07-05-10-663Z-stage-20,stage,20,0,31.335619999999995,2944,0,155.71,527.67,988.87,93.95059041435914,20,,25.96,31.48,46.33,1395.25,10,1,16.1,102.0,11.184,3.231
2026-09-11T07-05-45-938Z-stage-40,stage,40,0,31.328362300000006,2949,4,165.12,1316.3,2291.27,94.13195531130587,40,,26.01,28.64,51.87,1380.45703125,10,0,15.31,99.5,11.698,3.232
2026-09-11T07-07-10-245Z-stage-200,stage,200,3333,303.28013660000005,17974,0,153.05,216.83,591.27,59.265338645326885,37,,17.84,28.63,37.81,1351.83984375,10,4,22.47,60.0,6.524,1.995
