"统计开始","统计结束","图表","项目","数量"
"2026-09-01","2026-09-21","每日运动趋势","2026-09-20","20"
"2026-09-01","2026-09-21","每日运动趋势","2026-09-21","36"
"2026-09-01","2026-09-21","运动项目分布","高尔夫","36"
"2026-09-01","2026-09-21","运动项目分布","跑步","20"
"2026-09-01","2026-09-21","审核状态","有效","50"
"2026-09-01","2026-09-21","审核状态","待教师审核","6"
"2026-09-01","2026-09-21","学生运动频率","运动 2 天","5"
"2026-09-01","2026-09-21","学生运动频率","运动 4 天","7"
"2026-09-01","2026-09-21","班级参与记录","高尔夫(Wed)1004","56"
"2026-09-01","2026-09-21","教师审核次数","合成教师","50"
"2026-09-01","2026-09-21","运动时段","周1 9:00","36"
"2026-09-01","2026-09-21","运动时段","周7 18:00","20"
